实在,92,莺儿,131
好生,92,过了,130
高兴,91,忽见,130
家中,91,昨儿,130
认得,91,下来,129
提起,90,谁知,129
衣裳,90,金桂,129
一场,90,一件,128
不便,90,言语,128
这件,89,打听,128
身子,89,家人,128
尤二姐,89,不肯,127
一齐,89,赵姨娘,127
贾环,89,丫鬟,126
竟是,88,送了,126
底下,88,正在,126
陪笑,88,请了,126
心下,88,可是,126
现在,88,为什么,125
正要,87,多少,125
一见,87,林姑娘,125
小姐,86,以后,125
原故,86,叫你,125
几年,86,倘或,124
女人,86,又是,123
伤心,85,衣服,122
光景,85,预备,121
史湘云,84,与他,121
怡红院,84,一般,121
来回,84,答应,121
秦钟,84,十分,120
每日,83,我的,120
只好,83,外面,120
吃酒,83,不过是,119
有个,83,正说着,119
料理,83,来的,118
笑话,83,拿着,118
老祖宗,83,给我,117
宝琴,83,必是,116
不理,82,才是,116
姨妈,82,却是,116
姨娘,82,虽然,116
书房,82,听得,116
那日,81,商议,115
上面,81,命人,114
横竖,81,各自,114
宝姐姐,80,坐在,114
原是,80,开了,113
热闹,80,只说,113
两日,79,看了,113
留下,79,时候,113
惜春,79,宝蟾,113
秋纹,79,想起,112
脸上,79,给你,112
妙玉,79,下回分解,112
傍边,78,一日,112
好好,78,少不得,112
几日,78,是谁,111
这般,78,昨日,111
男人,77,不必,111
来说,77,我就,111
五儿,77,只听,111
一张,77,人家,110
几天,77,况且,109
不住,77,作什么,109
太爷,77,那个,109
闲话,76,说毕,109
侄儿,76,带着,109
工夫,76,又有,108
想到,76,糊涂,108
因笑,75,吃饭,108
记得,75,秦钟,107
老人家,75,父亲,107
在外,75,宝琴,107
只当,75,可以,107
说完,75,光景,106
一概,74,请安,106
晚上,74,虽不,106
委屈,74,里头,105
今年,73,因又,105
出门,73,在家,105
一番,73,园中,104
所有,73,妈妈,104
觉得,72,伺候,104
一块,72,便说道,104
说起,72,坐了,103
一一,72,收拾,103
生日,71,不如,103
正经,71,一处,102
真是,71,没了,102
雪雁,71,这话,101
着急,71,走到,101
一定,71,忙道,101
女孩儿,71,哥儿,101
欢喜,71,接了,100
一人,71,说是,100
头里,71,父母,100
叔叔,70,底下,100
门上,70,答应着,100
干净,70,若不,100
当日,70,薛蝌,99
宝蟾,70,那一,99
有事,69,定了,98
一位,69,便道,98
慢慢,69,主子,97
贾母王,69,倒不,97
时常,69,和尚,97
跪下,69,贾蓉,97
无奈,69,提起,97
里间,69,高兴,96
床上,68,秋纹,96
大老爷,68,赶着,96
几句,68,容易,96
好歹,68,姨太太,96
这么着,68,房里,95
可怜,68,出了,95
抱怨,68,等着,95
读书,67,和你,95
一迳,67,想来,95
渐渐,67,前日,95
因见,67,跟了,94
命人,67,实在,94
却说,66,遇见,94
不及,66,地下,94
眼睛,66,各处,94
不在话下,66,使得,93
暂且,66,忽然,93
未了,66,可不是,93
拿来,65,贾芸,92
屋子,65,认得,92
他家,65,怎样,92
凤丫头,65,史湘云,92
名字,65,又道,92
送来,65,句话,92
一笑,64,并不,91
了不得,64,都说,91
嘱咐,64,也就,91
不来,64,不许,90
穿着,64,赖大,90
一顿,64,叫了,90
半天,64,等我,89
湘莲,63,打了,89
未免,63,尤二姐,89
放下,63,亲戚,89
必是,63,现在,89
之后,62,竟是,89
那丫头,62,他的,88
女孩子,62,年纪,88
近日,62,工夫,88
照应,62,伤心,88
仔细,62,小丫头子,88
一把,61,便问,88
放在,61,夫人,87
尚未,61,早已,87
商量,61,和我,87
可惜,61,听了这话,87
回到,61,老婆子,87
一阵,61,到底是,87
二姐,61,大爷,86
就要,61,正要,86
一早,61,茗烟,86
看看,61,可巧,86
不该,60,热闹,86
交给,60,都在,85
回道,59,做什么,85
睡着,59,住了,85
宝兄弟,59,拉着,85
琥珀,59,愿意,85
冯紫英,58,五儿,84
姐儿,58,每日,84
未必,58,是个,84
一杯,58,那一个,83
我要,58,料理,83
听得,58,回家,83
不提,58,不曾,83
得罪,58,忙问,83
贾政听,58,你就,83
之物,58,姨娘,82
事来,57,那时,82
眼泪,57,把这,82
之意,57,丢了,82
打点,57,先生,82
梳洗,56,会子,82
好容易,56,衣裳,82
一半,56,委屈,82
年轻,56,递与,82
门前,56,倒也,81
可知,56,一夜,81
各人,56,回道,81
只顾,56,身子,81
一语,56,也不敢,81
后面,56,一看,81
规矩,56,吃了,80
下去,55,又见,80
不中用,55,你的,80
兴儿,55,留下,80
彩云,55,脸上,79
便知,55,虽是,79
回说,55,侄儿,79
红了脸,55,原故,79
不禁,55,男人,79
晚间,55,便叫,78
拿出,55,便将,78
岂知,55,宝二爷,78
司棋,55,吃酒,78
先生,54,在外,78
道理,54,一齐,78
荣府,54,知是,78
倒像,54,若说,77
姑子,54,也该,77
贾母因,54,林妹妹,77
门口,54,似的,77
秦氏,54,四个,76
本来,53,贾赦,76
惟有,53,府里,76
自去,53,不然,76
外间,53,晚上,76
大观园,53,丫头们,76
好处,53,手里,76
回身,53,作了,76
利害,53,岫烟,75
不自在,52,之事,75
巧姐儿,52,将来,75
轻轻,52,心下,75
天下,52,一回,74
这日,52,红玉,74
贾兰,52,回说,74
进入,52,园里,74
样子,52,旺儿,74
念书,52,秦氏,74
妥当,52,好好的,74
泪来,52,叔叔,74
不尽,52,放在,74
一点儿,52,横竖,73
有趣,52,真是,73
小子,52,一番,73
晚饭,52,站着,73
衙门,52,一场,73
磕头,51,依我,73
柳家,51,这么,73
大人,51,不依,72
那婆子,51,老祖宗,72
果子,51,亲自,72
赌气,50,不但,72
胡说,50,替他,72
老嬷嬷,50,读书,72
婶婶,50,也不用,72
爷们,50,不提,71
何不,50,只要,71
别处,50,接着,71
歇歇,50,也没有,71
两边,50,司棋,71
娘娘,50,女孩儿,71
这句,49,欢喜,71
受用,49,干净,71
见过,49,今年,71
一应,49,在外头,71
之间,49,叫他们,71
紫鹃道,49,地方,70
一辈子,49,因见,70
不吃,49,里的,70
伸手,49,觉得,70
勉强,49,当日,70
诧异,49,散了,70
退出,48,无奈,70
文章,48,陪笑,70
送到,48,姑娘们,70
使不得,48,知他,70
嘴里,48,也都,70
富贵,48,又问,70
你别,47,我想,69
歇息,47,屋子,69
说些,47,我是,69
取笑,47,有个,69
古人,47,一样,68
家去,47,事情,68
不错,47,我说,68
自有,47,吃茶,68
从前,47,这些人,68
从小儿,47,你也,68
造化,47,别说,68
一条,47,闻得,68
忙忙,47,有了,68
逛逛,47,把我,68
翠缕,47,取了,67
照看,46,炕上,67
两句,46,太监,67
口里,46,告诉了,67
答言,46,姐儿,67
一行,46,时常,66
三人,46,恐怕,66
