送去,54,63.163602,4.810389,3.056565,7.866953,496.905112
送殡,19,22.224230,3.892407,2.450826,6.343233,140.973470
送殡去,5,1030.231465,2.321928,1.921928,4.243856,4372.154178
送到,49,57.315121,4.629249,4.915431,9.544680,547.054500
性格,10,643.452416,2.921928,1.664498,4.586426,2951.146810
性急,14,88.316998,3.093069,1.061278,4.154347,366.899486
性命,21,53.461922,3.422578,3.125000,6.547578,350.046103
性情,25,97.640731,3.531631,4.021928,7.553559,737.534996
能干,13,20.128812,3.392747,3.000000,6.392747,128.678410
能够,42,65.031546,4.093400,4.977710,9.071110,589.908326
撕掳,5,2967.723747,1.921928,2.321928,4.243856,12594.592794
初时,5,253.573556,2.321928,1.921928,4.243856,1076.129704
初三,10,507.147111,2.521928,2.160964,4.682892,2374.915223
初三日,5,151.995542,1.921928,1.921928,3.843856,584.249004
初二,10,507.147111,2.058814,1.446617,3.505431,1777.768981
初二日,6,202.808310,1.792481,2.321928,4.114409,834.436405
初一,18,912.864800,3.169249,2.409267,5.578516,5092.430847
初一日,9,151.995542,2.058814,2.947703,5.006517,760.968214
初次,7,355.002978,2.128085,2.521641,4.649726,1650.666547
桂花,31,559.074092,4.307355,3.916127,8.223482,4597.535661
何必,70,70.081164,2.055828,5.218220,7.274048,509.773717
何处,42,34.350275,3.633974,4.518397,8.152371,280.036192
何物,13,30.936140,2.719295,1.584963,4.304257,133.157098
何故,14,21.869909,2.287784,2.584963,4.872746,106.566518
何尝,28,220.502796,2.314980,3.089294,5.404273,1191.657405
何尝不,13,567.657741,1.392147,1.700440,3.092587,1755.530918
何苦,64,181.742082,2.117963,3.054945,5.172908,940.135123
何苦来,34,763.530852,1.298795,3.057476,4.356271,3326.147320
何曾,41,102.686138,2.782095,4.324271,7.106365,729.725229
何等,34,13.477986,3.790767,4.334238,8.125005,109.508710
何妨,20,157.501997,3.215841,2.251629,5.467470,861.137498
福气,9,463.536300,2.419382,2.584963,5.004344,2319.695307
福的,7,360.528233,2.521641,2.000000,4.521641,1630.179109
福寿,9,463.536300,3.000000,2.947703,5.947703,2756.976138
福了,8,412.032266,2.750000,1.584963,4.334963,1786.144424
提着,16,99.095689,3.773557,3.546594,7.320151,725.395393
提起,97,600.767617,5.132948,4.749825,9.882773,5937.250132
提起这,11,40.276600,3.000000,2.368523,5.368523,216.225836
提笔,14,86.708728,3.251629,2.753434,6.005064,520.691424
提那,5,30.967403,1.921928,1.521928,3.443856,106.647282
提醒了,16,611.778102,2.530639,2.852217,5.382856,3293.113465
提宝,5,30.967403,1.921928,1.521928,3.443856,106.647282
提这,15,92.902209,3.132915,2.732915,5.865829,544.948483
提我,7,43.354364,2.128085,2.321928,4.450013,192.927500
提一,5,30.967403,2.321928,1.521928,3.843856,119.034244
提了,16,99.095689,3.373557,2.128085,5.501643,545.189061
掩着,6,557.993892,2.584963,1.584963,4.169925,2326.792681
掩住,7,650.992874,2.235926,1.792481,4.028408,2622.464642
掩埋,6,557.993892,2.584963,2.321928,4.906891,2738.014981
掩面,5,464.994910,2.321928,2.321928,4.643856,2159.369491
掩门,6,557.993892,2.584963,2.321928,4.906891,2738.014981
掩饰,8,743.991856,3.000000,2.321928,5.321928,3959.471161
掩了,17,1580.982694,3.875000,3.418296,7.293296,11530.574497
幔子,7,14998.875818,2.521641,2.321928,4.843569,72648.085915
刚才,62,578.798095,3.478671,4.616524,8.095194,4685.483116
刚才的,6,48.026475,2.251629,1.792481,4.044110,194.224366
刚才二,6,48.026475,1.000010,1.251629,2.251639,108.138291
刚才说,6,48.026475,2.321928,1.918296,4.240224,203.643006
刚才我,7,56.030887,1.000010,2.128085,3.128095,175.269953
刚要,16,149.367250,2.584963,3.875000,6.459963,964.906836
刚至,19,177.373610,2.321928,3.576618,5.898546,1046.246351
刚欲,5,46.677266,1.000010,2.321928,3.321938,155.058987
刚走,9,84.019078,2.000000,1.879965,3.879965,325.991079
刚到,21,196.044516,2.000000,3.327340,5.327340,1044.395773
半点,13,27.117394,2.815072,2.160964,4.976036,134.937142
半点儿,5,107.483197,2.321928,2.000000,4.321928,464.534648
半夜,22,45.890975,3.038471,3.521641,6.560112,301.049936
半晌,28,58.406695,1.853688,2.921928,4.775616,278.927967
半是,13,27.117394,1.295738,3.700440,4.996178,135.483315
半个,23,47.976928,3.845351,2.905308,6.750659,323.875868
半个月,6,117.924422,2.584963,2.321928,4.906891,578.642236
半刻,13,27.117394,1.947339,2.641604,4.588943,124.440175
半新不旧的,5,50.377501,1.921928,1.921928,3.843856,193.643869
半天,72,150.188645,2.195025,4.229871,6.424896,964.946472
半日,164,342.096357,2.462480,4.598347,7.060828,2415.483509
祠堂,7,8875.074448,2.807355,1.921928,4.729283,41972.738863
服药,16,139.085337,3.640224,2.281036,5.921260,823.560449
服毒,6,52.157001,2.251629,1.370951,3.622580,188.942898
服了,15,130.392503,3.640224,2.921928,6.562152,855.655431
服侍,9,78.235502,2.503258,2.807355,5.310613,415.478495
服的,7,60.849835,2.235926,2.000000,4.235926,257.755419
服不,5,43.464168,1.921928,1.370951,3.292879,143.122232
捉弄,12,21249.883095,3.418296,2.855389,6.273684,133315.059570
面又,78,21.484146,1.088947,5.352442,6.441389,138.387739
灰鼠,10,2028.588445,3.121928,3.121928,6.243856,12666.214521
灰了,6,1217.153067,2.251629,1.500000,3.751629,4566.306948
脂粉,14,3566.914582,3.664498,2.584963,6.249460,22291.291003
睁眼,21,6172.376880,2.974938,2.858118,5.833056,36003.819773
睁开眼,15,1116.395646,3.392747,3.000000,6.392747,7136.835374
精神,37,1641.318196,4.518397,4.788910,9.307307,15276.252145
精致,20,887.199025,3.947703,2.840224,6.787927,6022.241958
偿命,5,9717.444650,1.921928,1.921928,3.843856,37352.459768
机关,5,541.016676,1.921928,2.000000,3.921928,2121.828502
机会,20,2164.066704,2.601609,3.169925,5.771534,12489.985640
汗巾,26,4298.619613,3.170135,1.601681,4.771816,20512.222600
汗巾子,15,9250.469935,2.719295,3.418296,6.137590,56775.595095
在心上,15,82.883283,1.471602,1.000010,2.471612,204.855339
在家,243,13.082211,4.921285,4.110191,9.031476,118.151668
在家里,64,53.378920,5.259427,4.848582,10.108009,539.554577
在门外,8,38.438624,3.000000,2.235926,5.235926,201.261805
在园中,11,19.449944,3.277613,3.277613,6.555227,127.498794
在园内,12,54.127858,3.459432,3.277613,6.737045,364.661821
在园里,31,59.066248,4.607264,4.152391,8.759656,517.399996
在园子里,9,47.803784,2.947703,2.947703,5.895406,281.822695
在桌上,13,66.820631,2.353534,2.000000,4.353534,290.905888
在怀内,5,92.092537,1.370951,1.000010,2.370961,218.347776
在怀里,6,60.278751,1.918296,2.000000,3.918296,236.189981
在身傍,8,80.371669,2.155639,2.128085,4.283724,344.290073
在外,200,10.767252,6.372005,3.810952,10.182957,109.642459
在外书房,7,26.878276,2.807355,2.807355,5.614710,150.913722
在外间,28,101.116248,4.136842,3.355834,7.492676,757.631330
在外间睡,6,228.395858,2.251629,2.251629,4.503258,1028.525552
在外头,81,56.298079,5.403828,5.695315,11.099143,624.860445
在窗外,14,71.960680,3.392747,3.238901,6.631649,477.217948
在厅上,7,35.980340,2.521641,2.521641,5.043281,181.458975
在京里,5,110.511044,2.321928,2.000000,4.321928,477.620787
在头里,10,29.469612,3.321928,2.251629,5.573557,164.250569
在老太太跟前,12,170.379749,3.418296,3.277613,6.695909,1140.847344
在老太太那,7,32.912601,1.792481,1.448816,3.241297,106.679512
在榻上,12,91.457416,2.125815,2.000000,4.125815,377.336341
在山石,8,57.037958,2.000000,1.061278,3.061278,174.609054
在山石上,6,171.296894,1.251629,2.321928,3.573557,612.139258
在后头,6,39.003898,2.584963,2.321928,4.906891,191.387860
在后面,11,41.207508,3.277613,3.000000,6.277613,258.684806
在屋里,40,28.704167,4.653056,4.238901,8.891957,255.236227
在枕上,10,170.016991,3.321928,3.000000,6.321928,1074.835194
在一处,71,84.368647,5.211308,3.871896,9.083203,766.337586
在一处的,10,137.421883,3.321928,2.321928,5.643856,775.589344
在里间,17,46.788950,3.616875,3.007196,6.624071,309.933333
在里间屋里,5,84.895017,2.321928,2.321928,4.643856,394.240252
在里头,35,32.098644,4.843569,4.121928,8.965497,287.780287
在南边,7,41.814990,2.584963,2.807355,5.392317,225.479698
在地下,50,92.866424,4.459012,4.453881,8.912893,827.708505
在学房里,5,67.175252,2.321928,1.921928,4.243856,285.082111
在别处,5,22.102209,2.321928,2.321928,4.643856,102.639479
在炕沿,16,136.013593,2.977217,1.199460,4.176677,568.084886
在炕沿上,11,179.453888,2.404010,2.000000,4.404010,790.316676
在炕上,35,100.464586,3.464578,3.418296,6.882874,691.485106
在路上,6,49.116020,2.251629,2.584963,4.836592,237.554132
在这,371,19.973252,6.183487,1.428776,7.612263,152.041644
